需求编号,需求描述,Unnamed: 2,Unnamed: 3,Unnamed: 4,对应功能项,Unnamed: 6,Unnamed: 7,Unnamed: 8,测试用例编号,测试用例名称,预置条件,操作步骤,预期输出,重要级别,测试类型,适用阶段,测试结果,最近执行人,备注
4,管理系统,系统租户管理,编辑租户配置信息，对系统中企业/个人租户的配置信息进行修改,OSAgent配置管理,Agent管理,Agent管理,客户端上架,,TC_4_1_2,在软件仓库页面，点击软件上架，“操作系统”选择uos，其他参数填写正确，提交成功,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-软件仓库-软件上架
3.参数“操作系统”选择uos
4.查看参数“操作系统”是否联动显示
5.其他参数填写正确，点击提交","4.参数“处理器”联动，显示飞腾、龙芯和鲲鹏
5.客户端上架成功",1.0,功能测试,系统测试阶段,失败,胡明明,客户端上传成功后，不显示对应软件。
4,管理系统,系统租户管理,编辑租户配置信息，对系统中企业/个人租户的配置信息进行修改,OSAgent配置管理,Agent管理,Agent管理,客户端上架,,TC_4_1_3,在软件仓库页面，点击软件上架，在上传软件安装包框，点击“选择文件”，选择的deb格式的文件，其他参数填写正确，提交成功,"1.服务端可以正常登陆
2.存在软件安装包，格式为deb","1.登陆服务端界面
2.点击 软件管理-软件仓库-软件上架
3.在上传软件安装包框，点击“选择文件”，选择的deb格式的文件，并上传
4.其他参数填写正确，提交成功","3.上传软件安装包成功
4.客户端上架成功",1.0,功能测试,系统测试阶段,失败,胡明明,客户端上传成功后，不显示对应软件。
5,管理系统,系统租户管理,编辑租户配置信息，对系统中企业/个人租户的配置信息进行修改,显示租户配置信息,系统管理,用户管理,,,TC_5_1_1,在用户录入界面，最大可以创建N个用户，在创建N+1个用户会有错误提示信息,"1.服务端可以正常登陆
2.已创建N个用户（N为规格允许的最大值）","1.进入 系统管理-用户管理 页面
2.点击 用户录入
3.在创建N+1个用户会有错误提示信息",3.会有错误提示信息，类似“已到达最大用户数，请先删除1个再创建！”,2.0,功能测试,系统测试阶段,通过,,
5,管理系统,系统租户管理,编辑租户配置信息，对系统中企业/个人租户的配置信息进行修改,显示租户配置信息,系统管理,用户管理,,,TC_5_1_2,在用户录入界面，录入用户成功有操作日志记录,1.服务端可以正常登陆,"1.进入 系统管理-用户管理 页面
2.点击 用户录入
3.录入用户成功，查看是否有操作日志记录",3.录入用户成功有操作日志记录,1.0,功能测试,系统测试阶段,通过,,
6,管理系统,系统租户管理,租户软件商店配置,2.软件商店内上架的第三方软件带有版本属性｜关联租户名称属性｜关联租户下载的OSAgent属性,软件管理,软件仓库,软件上架,,TC_6_1_1,在软件仓库页面，点击软件上架，点击添加名称，“软件名称”输入任意字符（中文、数字、字母、特殊字符等），点击确定添加成功,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-软件仓库-软件上架
3.点击添加名称
4.名称填写任意字符（中文、数字、字母、特殊字符等），点击确定",4.软件名称添加成功,1.0,功能测试,系统测试阶段,通过,,
6,管理系统,系统租户管理,租户软件商店配置,2.软件商店内上架的第三方软件带有版本属性｜关联租户名称属性｜关联租户下载的OSAgent属性,软件管理,软件仓库,软件上架,,TC_6_1_2,在软件仓库页面，点击软件上架，“版本”输入任意（字母大小写、数字、横杠、下划线和点），其他参数填写正确，提交成功,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-软件仓库-软件上架
3.在版本栏里输入任意（字母大小写、数字、横杠、下划线和点），其他参数填写正确，点击提交",3.软件添加成功,1.0,功能测试,系统测试阶段,通过,,
6,管理系统,系统租户管理,租户软件商店配置,2.软件商店内上架的第三方软件带有版本属性｜关联租户名称属性｜关联租户下载的OSAgent属性,软件管理,软件仓库,查询,,TC_6_2_1,在软件仓库页面，所有查询条件均不输入，点击查询，可以查询到所有记录,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-软件仓库
3.在查询栏不输入任何信息，点击查询",3.可以查询到所有已上传的软件信息,2.0,功能测试,系统测试阶段,通过,,
6,管理系统,系统租户管理,租户软件商店配置,2.软件商店内上架的第三方软件带有版本属性｜关联租户名称属性｜关联租户下载的OSAgent属性,软件管理,软件仓库,查询,,TC_6_2_4,在软件仓库页面，“软件名称”输入为中文，点击查询进行模糊查询，查询结果匹配所有包括该中文的记录,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-软件仓库
3.在查询栏-“软件名称”处输入中文进行模糊查询",3.可以显示所有包含此中文的软件信息，且不包含此中文的软件不能被显示,2.0,功能测试,系统测试阶段,通过,,
7,管理系统,系统租户管理,租户软件商店配置,推送导出：点击软件相应版本有【系统推送】/【导出】的功能。可以让租户在线或离线的升级软件,软件管理,软件仓库,远程安装,,TC_7_1_1,在远程安装界面，勾选任意设备（状态在线），点击远程安装，会有进度显示，安装完成会有操作成功的日志,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-软件仓库
3.勾选任意一条软件记录，点击远程安装
4.勾选任意一台设备（状态在线），点击远程安装",4.安装过程会有进度显示，安装完成会有操作成功的日志,1.0,功能测试,系统测试阶段,通过,,
7,管理系统,系统租户管理,租户软件商店配置,推送导出：点击软件相应版本有【系统推送】/【导出】的功能。可以让租户在线或离线的升级软件,软件管理,软件仓库,远程安装,,TC_7_1_2,全部软件，服务端可以下发给指定客户端并行进行安装,"1.服务端可以正常登陆
2.客户端与服务端通信正常","1.登陆服务端界面
2.点击软件管理-软件仓库
3.勾选任意全部同系统软件记录，点击远程安装
4.勾选指定同系统设备（状态在线），点击远程安装",4.用户安装成功，且上传“安装成功”日志,2.0,功能测试,系统测试阶段,通过,,
8,管理系统,系统租户管理,租户软件商店配置,软件上架：第三方软件上架并配置给指定租户,软件管理,软件仓库,软件上架,,TC_8_1_1,在软件仓库页面，点击软件上架，“软件分类”选择办公软件，其他参数填写正确，提交成功,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-软件仓库-软件上架
3.软件分类选择办公软件，其他参数正常填写，点击提交",3.软件添加成功,1.0,功能测试,系统测试阶段,通过,,
8,管理系统,系统租户管理,租户软件商店配置,软件上架：第三方软件上架并配置给指定租户,软件管理,软件仓库,软件上架,,TC_8_1_2,在软件仓库页面，点击软件上架，“软件分类”选择安全软件，其他参数填写正确，提交成功,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-软件仓库-软件上架
3.软件分类选择安全软件，其他参数正常填写，点击提交",3.软件添加成功,2.0,功能测试,系统测试阶段,通过,,
8,管理系统,系统租户管理,租户软件商店配置,软件上架：第三方软件上架并配置给指定租户,软件管理,软件仓库,软件上架,,TC_8_1_3,在软件仓库页面，点击软件上架，“软件分类”选择聊天工具，其他参数填写正确，提交成功,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-软件仓库-软件上架
3.软件分类选择聊天工具，其他参数正常填写，点击提交",3.软件添加成功,2.0,功能测试,系统测试阶段,通过,,
9,管理系统,系统租户管理,租户软件商店配置,软件下架：第三方软件同指定租户解绑,软件管理,软件仓库,远程卸载,,TC_9_1_1,在远程卸载界面，勾选任意设备（状态在线），点击远程卸载，会有进度显示，卸载完成会有操作成功的日志,"1.服务端可以正常登陆
2.客户端存在要卸载的软件","1.登陆服务端界面
2.点击软件管理-软件仓库
3.勾选要卸载软件记录，点击远程卸载
4.勾选存在此软件的设备（状态在线），点击远程卸载",4.卸载过程会有进度显示，卸载完成会有操作成功的日志,1.0,功能测试,系统测试阶段,通过,,
9,管理系统,系统租户管理,租户软件商店配置,软件下架：第三方软件同指定租户解绑,软件管理,软件仓库,远程卸载,,TC_9_1_2,全部软件，服务端可以下发给指定客户端并行进行卸载,"1.服务端可以正常登陆
2.客户端与服务端通信正常","1.登陆服务端界面
2.点击软件管理-软件仓库
3.勾选任意全部同系统软件记录，点击远程卸载
4.勾选指定同系统设备（状态在线），点击部署",4.用户卸载成功，且上传“安装成功”日志,2.0,功能测试,系统测试阶段,通过,,
10,管理系统,系统租户管理,租户安全管控策略管理,创建安全管控策略,软件管理,守护策略,创建策略,,TC_10_1_1,打开创建策略界面，“软件名称”选择任意枚举值，其他参数填写正确，点击提交添加成功，策略配置信息显示正确。,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-守护策略-创建策略
3.“软件名称”选择任意枚举值，其他参数填写正确，点击提交（遍历所有已存在软件）",3.策略配置信息显示正确。,1.0,功能测试,系统测试阶段,通过,,
10,管理系统,系统租户管理,租户安全管控策略管理,创建安全管控策略,软件管理,守护策略,创建策略,,TC_10_1_2,打开创建策略界面，“防止删除”设置为ON，点击+符号可以生成多个“目录或文件路径”和“排除目录和文件路径”，输入合法路径，多个路径使用|分割，其他参数填写正确，点击提交添加成功，策略配置信息显示正确。,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-守护策略-创建策略
3.“点击+符号可以生成多个“目录或文件路径”和“排除目录和文件路径”，输入合法路径，多个路径使用|分割，其他参数填写正确，点击提交",3.策略创建成功，配置信息显示正确。,2.0,功能测试,系统测试阶段,通过,,
10,管理系统,系统租户管理,租户安全管控策略管理,创建安全管控策略,软件管理,守护策略,创建策略,,TC_10_1_3,打开创建策略界面，“防止篡改”设置为ON，点击+符号可以生成多个“目录或文件路径”和“排除目录和文件路径”，输入合法路径，多个路径使用|分割，其他参数填写正确，点击提交添加成功，策略配置信息显示正确。,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-守护策略-创建策略
3.“点击+符号可以生成多个“目录或文件路径”和“排除目录和文件路径”，输入合法路径，多个路径使用|分割，其他参数填写正确，点击提交",3.策略创建成功，配置信息显示正确。,2.0,功能测试,系统测试阶段,通过,,
10,管理系统,系统租户管理,租户安全管控策略管理,创建安全管控策略,软件管理,守护策略,创建策略,,TC_10_1_4,打开创建策略界面，“防止关闭”设置为ON，“目录或文件路径”可以编辑，但不输入，其他参数填写正确，点击提交添加成功,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-守护策略-创建策略
3.“防止关闭”设置为ON，“目录或文件路径”可以编辑，但不输入，其他参数填写正确，点击提交",3.策略创建成功，配置信息显示正确。,1.0,功能测试,系统测试阶段,通过,,
10,管理系统,系统租户管理,租户安全管控策略管理,创建安全管控策略,软件管理,守护策略,创建策略,,TC_10_1_5,打开编辑策略界面，“策略名称”长度为最大长度（254个字节），其他参数填写正确，点击提交修改成功,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-守护策略
3.选择已经创建好的任意策略，点击编辑
4.“策略名称”输入等于254字节信息，其他参数填写正确，点击提交",4.策略修改成功，配置信息显示正确。,2.0,功能测试,系统测试阶段,通过,,
11,管理系统,系统租户管理,租户安全管控策略管理,编辑安全管控策略,软件管理,守护策略,创建策略,,TC_11_1_1,打开创建策略界面，“防止删除”设置为ON，点击+符号可以生成多个“目录或文件路径”和“排除目录和文件路径”，输入合法路径，多个路径使用|分割，其他参数填写正确，点击提交添加成功，策略配置信息显示正确。,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-守护策略-创建策略
3.“点击+符号可以生成多个“目录或文件路径”和“排除目录和文件路径”，输入合法路径，多个路径使用|分割，其他参数填写正确，点击提交",3.策略创建成功，配置信息显示正确。,2.0,功能测试,系统测试阶段,通过,,
11,管理系统,系统租户管理,租户安全管控策略管理,编辑安全管控策略,软件管理,守护策略,创建策略,,TC_11_1_2,打开创建策略界面，“防止篡改”设置为ON，点击+符号可以生成多个“目录或文件路径”和“排除目录和文件路径”，输入合法路径，多个路径使用|分割，其他参数填写正确，点击提交添加成功，策略配置信息显示正确。,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-守护策略-创建策略
3.“点击+符号可以生成多个“目录或文件路径”和“排除目录和文件路径”，输入合法路径，多个路径使用|分割，其他参数填写正确，点击提交",3.策略创建成功，配置信息显示正确。,2.0,功能测试,系统测试阶段,通过,,
11,管理系统,系统租户管理,租户安全管控策略管理,编辑安全管控策略,软件管理,守护策略,创建策略,,TC_11_1_3,打开创建策略界面，“防止关闭”设置为ON，“目录或文件路径”可以编辑，但不输入，其他参数填写正确，点击提交添加成功,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-守护策略-创建策略
3.“防止关闭”设置为ON，“目录或文件路径”可以编辑，但不输入，其他参数填写正确，点击提交",3.策略创建成功，配置信息显示正确。,1.0,功能测试,系统测试阶段,通过,,
12,管理系统,系统租户管理,租户安全管控策略管理,删除安全管控策略,软件管理,守护策略,删除策略,,TC_12_1_1,在守护策略页面，点击删除策略，在删除确认框，点击取消不会删除策略，点击确定删除策略成功,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-守护策略
3.勾选一条策略，点击删除策略",3.点击取消不会删除策略，点击确定删除策略成功,2.0,功能测试,系统测试阶段,通过,,
13,管理系统,系统租户管理,租户安全管控策略管理,持久化守护管理,软件管理,守护策略,查询,,TC_13_1_1,在部署策略界面，所有查询条件均不输入，点击查询，可以查询到所有未被分组和已分组的设备总记录,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-守护策略-勾选指定的策略，点击部署策略
3.所有查询条件均不输入，点击查询",3.可以查询到所有未被分组和已分组的设备总记录,2.0,功能测试,系统测试阶段,通过,,
13,管理系统,系统租户管理,租户安全管控策略管理,持久化守护管理,软件管理,守护策略,查询,,TC_13_1_2,在部署策略界面，点击重置可以清空查询条件,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-守护策略-勾选指定的策略，点击部署策略
3.查询条件“品牌”、“型号”、“IP地址”和“状态”输入的组合条件，点击重置",3.查询条件出所有信息被重置,2.0,功能测试,系统测试阶段,通过,,
14,管理系统,系统租户管理,租户安全管控策略管理,租户安全管控策略绑定到系统租户,软件管理,守护策略,部署策略,,TC_14_1_1,在守护策略页面，勾选多个策略，点击部署策略，操作成功,"1.服务端可以正常登陆
2.客户端已安装agent,持久化功能开启
3.客户端与服务端网络通信正常","1.登陆服务端界面
2.点击软件管理-守护策略
3.勾选多个策略，点击部署策略",3.操作成功,2.0,功能测试,系统测试阶段,通过,,
14,管理系统,系统租户管理,租户安全管控策略管理,租户安全管控策略绑定到系统租户,软件管理,守护策略,部署策略,,TC_14_1_2,在部署策略界面，勾选任意一个在线设备，点击部署策略，会提示“创建部署策略成功”，且客户端守护策略生效,"1.服务端可以正常登陆
2.客户端已安装agent,持久化功能开启
3.客户端与服务端网络通信正常","1.登陆服务端界面
2.点击软件管理-守护策略
3.勾选指定策略，点击策略部署
4.勾选指定的设备，点击部署策略",4.策略部署成功，且守护策略在客户端生效,1.0,功能测试,系统测试阶段,通过,,
14,管理系统,系统租户管理,租户安全管控策略管理,租户安全管控策略绑定到系统租户,软件管理,守护策略,部署策略,,TC_14_1_3,在部署策略界面，勾选多个在线设备，点击部署策略，会提示“创建部署策略成功”，且客户端守护策略生效,"1.服务端可以正常登陆
2.客户端已安装agent,持久化功能开启
3.客户端与服务端网络通信正常","1.登陆服务端界面
2.点击软件管理-守护策略
3.勾选指定策略，点击策略部署
4.勾选多个指定的设备，点击部署策略",4.策略部署成功，且守护策略在所有客户端生效,1.0,功能测试,系统测试阶段,通过,,
15        ,管理系统,系统租户管理,租户的违规预警管理,对系统内租户进行违规处理方式配置,,,,,,,,,,,,,不通过,,功能已实现，当前环境不满足验证条件
,管理系统,系统租户管理,租户的违规预警管理,系统租户登陆系统后可从【系统租户违规预警】中【违规处理配置管理】中用联网获取或导入方式获取配置好的违规处理策略,,,,,,,,,,,,,不通过,,功能已实现，当前环境不满足验证条件
16        ,管理系统,系统租户管理,租户的违规预警管理,创建违规预警处理策略,,,,,,,,,,,,,不通过,,功能已实现，当前环境不满足验证条件
17        ,管理系统,系统租户管理,租户的违规预警管理,配置违规预警策略到系统租户,,,,,,,,,,,,,不通过,,功能已实现，当前环境不满足验证条件
18        ,管理系统,系统租户管理,租户的违规预警管理,注销违规预警策略到系统租户,,,,,,,,,,,,,不通过,,功能已实现，当前环境不满足验证条件
19,管理系统,系统登陆与注册,系统登陆,支持管理员登陆/注册租户登陆,系统登录,登录,,,TC_19_1_1,使用运维管理员角色登录系统成功,1.服务端运行正常,"1.通过浏览器打开服务器访问地址
2.输入正确的运维管理员角色账号、密码和验证码
3.查看登录是否成功
4.查看权限是否正确","3.登录成功
4.权限正确",1.0,功能测试,系统测试阶段,通过,,
19,管理系统,系统登陆与注册,系统登陆,支持管理员登陆/注册租户登陆,系统登录,登录,,,TC_19_1_2,使用系统管理员角色登录系统成功,1.服务端运行正常,"1.通过浏览器打开服务器访问地址
2.输入正确的系统管理员角色账号、密码和验证码
3.查看登录是否成功
4.查看权限是否正确","3.登录成功
4.权限正确（没有用户管理权限）",1.0,功能测试,系统测试阶段,通过,,
19,管理系统,系统登陆与注册,系统登陆,支持管理员登陆/注册租户登陆,系统登录,登录,,,TC_19_1_3,使用管理员角色登录系统成功,1.服务端运行正常,"1.通过浏览器打开服务器访问地址
2.输入正确的管理员角色账号、密码和验证码
3.查看登录是否成功
4.查看权限是否正确","3.登录成功
4.权限正确",1.0,功能测试,系统测试阶段,通过,,
19,管理系统,系统登陆与注册,系统登陆,支持管理员登陆/注册租户登陆,系统登录,注销,,,TC_19_1_4,同一个角色在一个浏览器中可以打开多个页面登录，登录成功的日志只记录一次,1.服务端运行正常,"1.通过浏览器打开服务器访问地址
2.输入正确的账号、密码和验证码
3.登录成功后，查看是否生成操作日志
4.在同一个浏览器，打开新的标签页，输入服务器访问地址
5.查看是否进行登录认证
6.查看是否生成操作日志","3.登录成功后，生成登录成功的操作日志
5.同一浏览器新的页签不会进行登录认证
6.不会生成登录成功的操作日志",2.0,功能测试,系统测试阶段,通过,,
19,管理系统,系统登陆与注册,系统登陆,支持管理员登陆/注册租户登陆,系统登录,注销,,,TC_19_1_5,登录，点击右上角注销，退出当前账号,"1.服务端运行正常
","1.登陆服务端界面
2.点击右上角注销
3.查看是否退出当前账号",3.退出当前账号成功,1.0,功能测试,系统测试阶段,通过,,
20,管理系统,系统登陆与注册,系统登陆,系统登陆,系统登录,登录,,,TC_20_1_1,使用安全审计管理员角色登录系统成功,1.服务端运行正常,"1.通过浏览器打开服务器访问地址
2.输入正确的安全审计管理员角色账号、密码和验证码
3.查看登录是否成功
4.查看权限是否正确","3.登录成功
4.只能操作 日志管理、告警信息 和 资产盘点 功能，其他功能不显示",1.0,功能测试,系统测试阶段,通过,,
20,管理系统,系统登陆与注册,系统登陆,系统登陆,系统登录,登录,,,TC_20_1_2,在登录界面，密码不能明文显示,1.服务端运行正常,"1.通过浏览器打开服务器访问地址
2.在密码框输入密码
3.查看是否明文显示",3.密码使用非明文显示，使用*替代,1.0,功能测试,系统测试阶段,通过,,
21,管理系统,系统登陆与注册,新租户注册,填写租户的企业/个人信息完成租户的创建,系统管理,用户管理,用户录入,,TC_21_1_1,在用户录入界面，“用户账号”输入长度范围内的合法字符，其他参数填写正确，点击提交，录入用户成功,1.服务端可以正常登陆,"1.进入 系统管理-用户管理 页面
2.点击 用户录入
3.“用户账号”输入长度范围内的合法字符，其他参数填写正确，点击提交",3.录入用户成功,1.0,功能测试,系统测试阶段,通过,,
21,管理系统,系统登陆与注册,新租户注册,填写租户的企业/个人信息完成租户的创建,系统管理,用户管理,用户录入,,TC_21_1_2,在用户录入界面，“用户名称”输入长度范围内的合法字符，其他参数填写正确，点击提交，录入用户成功,1.服务端可以正常登陆,"1.进入 系统管理-用户管理 页面
2.点击 用户录入
3.“用户名称”输入长度范围内的合法字符，其他参数填写正确，点击提交",3.录入用户成功,1.0,功能测试,系统测试阶段,通过,,
21,管理系统,系统登陆与注册,新租户注册,填写租户的企业/个人信息完成租户的创建,系统管理,用户管理,用户录入,,TC_21_1_3,在用户录入界面，“密码”输入长度范围内的合法字符，其他参数填写正确，点击提交，录入用户成功,"1.服务端可以正常登陆
","1.进入 系统管理-用户管理 页面
2.点击 用户录入
3.“密码”输入长度范围内的合法字符，其他参数填写正确，点击提交",3.录入用户成功,1.0,功能测试,系统测试阶段,通过,,
22,管理系统,系统登陆与注册,新租户注册,租户密码信息管理,系统管理,用户管理,密码重置,,TC_22_1_1,在密码重置界面，“密码”输入长度范围内的合法字符，其他参数填写正确，点击提交，密码重置成功,1.服务端可以正常登陆,"1.进入 系统管理-用户管理 页面
2.勾选任意用户记录，点击“密码重置”
3.“密码”输入长度范围内的合法字符，其他参数填写正确，点击提交",3.密码重置成功,1.0,功能测试,系统测试阶段,通过,,
22,管理系统,系统登陆与注册,新租户注册,租户密码信息管理,系统管理,用户管理,密码重置,,TC_22_1_2,在密码重置界面，“密码”和“重复密码”输入新的合法密码，点击提交，密码修改成功,"1.服务端可以正常登陆
2.用户A正在登陆","1.进入 系统管理-用户管理 页面
2.勾选用户A记录，点击“密码重置”
3.“密码”和“重复密码”输入新的密码，且一直，点击提交
4.查看当前在线用户A是否还能正常使用
5.用户A注销后，使用旧密码登录，查看是否成功
6.用户A注销后，使用新密码登录，查看是否成功","3.用户A密码修改成功
4.当前在线用户A正常使用
5.使用旧密码登录失败
6.使用新密码登录成功",1.0,功能测试,系统测试阶段,通过,,
23,管理系统,设备管理,设备激活,"1.依据租户授权设备数量提供相应数量的设备激活链接（包含唯一的AgentID）
2.租户自己在被授权设备中打开设备激活链接，下载Agent并完成安装同时进行设备激活
3.安装完成后Agent向服务器返回状态信息",设备管理,激活设备,,,TC_23_1_1,管理员在服务端激活设备，客户端自动重启机器后，agent将配置文件通过host_info传给bios，BIOS激活agent守护服务成功，服务器更新激活状态为已激活,"1.客户端与服务端网络通信正常;
2.客户端已安装agent;
3.持久化功能未激活;","1.客户端登录激活地址（例如192.168.60.70:8888）
2.输入激活码，点击确定
3.填写设备名称和设备位置描述，点击保存
4.客户端自动下载server文件，自动重启
5.进入BIOS“安全”界面，查看“守护功能开关”的状态;
6.客户端进入OS后，进入服务端查看客户端激活状态，并查看激活日志;","5.“守护功能开关”显示“已激活”，BIOS激活agent守护服务成功;
6. 服务端显示客户端状态已激活，服务端显示客户端激活成功日志;",1.0,功能测试,系统测试阶段,通过,,
